Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[infect]	Sample Characteristic Ontology Term[infect]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[infect]	Factor Value Ontology Term[infect]	Factor Value[time]	Factor Value Ontology Term[time]	Analysed
SRR6039724	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		2 day		Yes
SRR6039725	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		2 day		Yes
SRR6039726	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		2 day		Yes
SRR6039727	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		2 day		Yes
SRR6039728	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		2 day		Yes
SRR6039729	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		2 day		Yes
SRR6039730	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		4 day		Yes
SRR6039731	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		4 day		Yes
SRR6039732	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		4 day		Yes
SRR6039733	7 day		Early Golden Bantam		seedling developmental stage	http://purl.obolibrary.org/obo/PO_0007131	Ustilago maydis FB1 x FB2		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	Ustilago maydis FB1 x FB2		4 day		Yes
