genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance
AT3G21530,49.9320100651855,-2.20856170415446,0.384302275156912,-5.74693892523197,9.08735343275094e-09,9.3657833027681e-07,Significantly downregulated
AT1G67110,273.378533603971,-1.8752590904368,0.326566583141292,-5.74234838236787,9.33724710488512e-09,9.57959110928919e-07,Significantly downregulated
AT5G48470,206.628872537835,1.27320202520389,0.222246960614195,5.7287713707549,1.01160624272767e-08,1.03316581468806e-06,Significantly upregulated
AT1G15040,415.996199559609,-2.20710938661498,0.385760805359785,-5.72144540334128,1.05621600166888e-08,1.07386717899406e-06,Significantly downregulated
AT1G23870,3845.80899219926,-1.13036193142897,0.197627486052289,-5.71965951704657,1.06737725434899e-08,1.08034852053413e-06,Significantly downregulated
AT4G28660,789.077114519959,1.46734479854864,0.256698336026179,5.71622247835291,1.08918119290583e-08,1.09749592433381e-06,Significantly upregulated
AT5G55970,428.078019584822,-1.06858132862146,0.187042890593146,-5.71302830721232,1.10983209058081e-08,1.11333422739998e-06,Significantly downregulated
AT2G42130,369.986732342815,1.29508556174634,0.226958379581489,5.70626898259704,1.15479458563601e-08,1.14744622272537e-06,Significantly upregulated
AT4G39795,49.7211112762865,-2.24825139076861,0.394040384289986,-5.70563698647206,1.15908793930878e-08,1.14744622272537e-06,Significantly downregulated
AT2G46970,1470.14861683063,1.01590482925097,0.178087216901304,5.70453537838137,1.16660862882645e-08,1.14984818171361e-06,Significantly upregulated
AT1G21100,1028.8522059202,-2.04123759498765,0.358825947251256,-5.68865660531048,1.28042655394683e-08,1.25654381517973e-06,Significantly downregulated
AT2G22122,1394.02386515387,-1.83389608915162,0.322638165514255,-5.68406433327118,1.31530761891957e-08,1.28518650504907e-06,Significantly downregulated
AT1G18970,369.946211159063,-1.33433160015494,0.235166707081416,-5.67398173285213,1.39516015728573e-08,1.35733447888346e-06,Significantly downregulated
AT3G05470,441.078632714593,1.27615112530963,0.225105075924619,5.66913526968611,1.43520024604395e-08,1.38366949848802e-06,Significantly upregulated
AT3G48390,140.021710223439,-1.76920828711149,0.312112834286804,-5.6684893819065,1.44061996431122e-08,1.38366949848802e-06,Significantly downregulated
AT5G06570,694.82894516191,-1.27697832651016,0.225275907998584,-5.66850817672959,1.44046197432536e-08,1.38366949848802e-06,Significantly downregulated
AT3G14990,6753.23752789546,-1.10864344014543,0.196257208981569,-5.6489310425766,1.61448596536545e-08,1.54409164085862e-06,Significantly downregulated
AT2G23030,131.072131456668,-1.8235014613652,0.324061256655845,-5.62702706328692,1.83341971751045e-08,1.73146930727734e-06,Significantly downregulated
AT1G66940,164.422811833978,1.36622484035352,0.242884925699781,5.62498819725952,1.85520658886367e-08,1.74474449655174e-06,Significantly upregulated
AT1G31800,314.288303429868,1.57325158349569,0.279732795604504,5.62412276363908,1.86453023313668e-08,1.74623700797212e-06,Significantly upregulated
AT3G24310,59.042162360476,-2.14900847800023,0.382273675087187,-5.62164914314357,1.89143105502773e-08,1.76411117119963e-06,Significantly downregulated
AT2G08760,2081.34515771646,1.74795648848439,0.311034769513389,5.61981058008098,1.9116693365104e-08,1.77564973639408e-06,Significantly upregulated
AT1G79320,139.662344527279,-1.54070409521146,0.274611104233612,-5.61049451919026,2.01749262373458e-08,1.86626336107841e-06,Significantly downregulated
AT3G12090,191.165635665124,-1.64558342585367,0.293952675659066,-5.59812365090446,2.16684187033662e-08,1.99331130393122e-06,Significantly downregulated
AT4G08780,24.8518154385845,-3.68821097164601,0.658883060726932,-5.5976715618958,2.17249825336529e-08,1.99331130393122e-06,Significantly downregulated
AT2G44010,234.813786498716,-1.51505936720355,0.270761016661789,-5.59555945638965,2.19911465873702e-08,2.00956343977139e-06,Significantly downregulated
AT3G52490,340.617664190615,-1.08393152151648,0.193836792072573,-5.59198029397149,2.24494304390208e-08,2.04316973564169e-06,Significantly downregulated
AT3G18000,1511.84671253269,1.92274724855112,0.343906766041391,5.59089683138047,2.25899779207371e-08,2.04716753025152e-06,Significantly upregulated
AT5G65410,865.004235149812,1.06328144086353,0.190459657789594,5.58271212499063,2.36796520994044e-08,2.12937620532134e-06,Significantly upregulated
AT1G12010,391.540074839829,-2.32836968730588,0.417421924736468,-5.57797650129626,2.43332515867594e-08,2.17085304966303e-06,Significantly downregulated
AT4G07820,949.918429088834,-1.71977910440218,0.30846982295436,-5.57519399444343,2.47254174800891e-08,2.19715511001217e-06,Significantly downregulated
AT2G38800,3162.81838837893,-1.41999416042011,0.254865126315703,-5.57155143564503,2.52480799041355e-08,2.23480161378919e-06,Significantly downregulated
AT2G47010,664.669451928707,1.34018742620551,0.240699072936139,5.56789608641777,2.57833499872199e-08,2.27326559594352e-06,Significantly upregulated
AT1G68150,145.716653585752,-1.65406828022179,0.297438123954214,-5.56105000338292,2.68156344324348e-08,2.35508048550383e-06,Significantly downregulated
AT5G49330,184.384534120725,1.81214349394635,0.32613164064255,5.55647863658993,2.75271393832117e-08,2.40819791867624e-06,Significantly upregulated
AT3G01290,3361.0666148955,-1.92953039814846,0.347503512431729,-5.55254933869923,2.81533217349064e-08,2.45346959412576e-06,Significantly downregulated
AT1G72610,2975.89707223451,1.97515349246314,0.356470104353139,5.54086715363498,3.00977486971869e-08,2.61283186863156e-06,Significantly upregulated
AT5G44005,74.5804776607178,-2.14958123891219,0.388027982790539,-5.53975830158763,3.02889388953289e-08,2.61935494178724e-06,Significantly downregulated
AT5G67280,608.718591291903,1.02589044125275,0.185229587398745,5.53848041049892,3.0510736664246e-08,2.62846502766678e-06,Significantly upregulated
AT1G72600,3093.63281213462,1.87748711511219,0.339662971813375,5.52750011309375,3.24826018165591e-08,2.76711138080612e-06,Significantly upregulated
AT5G23660,1516.97819257355,-1.62237434978263,0.293511121918284,-5.52747146063621,3.24879055386834e-08,2.76711138080612e-06,Significantly downregulated
AT5G38100,212.496387728988,-1.27358887656804,0.230719868458835,-5.52006589235409,3.38872566458306e-08,2.87544838253023e-06,Significantly downregulated
AT2G28270,86.62261625353,-2.28460217658384,0.414263202484001,-5.5148566488284,3.49064359576888e-08,2.93373599310027e-06,Significantly downregulated
AT4G17800,321.132822340213,-1.22991881320507,0.223030924054362,-5.5145662800791,3.49641124515517e-08,2.93373599310027e-06,Significantly downregulated
AT5G13930,4523.21446274292,2.30585256981262,0.418040745376452,5.5158560387126,3.47086297885998e-08,2.93373599310027e-06,Significantly upregulated
AT4G18480,3068.37486567534,1.11386721860251,0.202539573611038,5.49950411538642,3.80860818823769e-08,3.18385538580418e-06,Significantly upregulated
AT5G54080,1156.24851855165,-1.00886892875508,0.183527407180546,-5.49710228163686,3.86082789219367e-08,3.21559949648352e-06,Significantly downregulated
AT5G02890,1065.20493965214,1.21330500498844,0.220868684125123,5.49333197594051,3.94420361081446e-08,3.26097508057484e-06,Significantly upregulated
AT1G74770,342.914839556979,-1.19922408382462,0.218547601254054,-5.48724432088625,4.08252299303047e-08,3.33513868397864e-06,Significantly downregulated
AT4G23250,305.69905702757,1.55215968539519,0.282890254628585,5.48679093747174,4.09301056870357e-08,3.33513868397864e-06,Significantly upregulated
AT5G17050,240.942396244365,1.30976276747503,0.238696620800216,5.48714415429984,4.08483778191327e-08,3.33513868397864e-06,Significantly upregulated
AT5G20960,2437.97262681325,-1.08116327777027,0.196989196243201,-5.48843945957052,4.05500200126176e-08,3.33513868397864e-06,Significantly downregulated
